Statistical profiling result from isolate-0x103000000-v8.log, (2732 ticks, 192 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.1%    0.1%  LazyCompile: ~pp$3.parseCallExpressionArguments /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/babylon/lib/index.js:3555:46
      2    0.1%    0.1%  LazyCompile: ~pp$1.parseVar /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/acorn-globals/node_modules/acorn/dist/acorn.js:1078:25
      2    0.1%    0.1%  LazyCompile: ~pp$1.parseBlock /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/acorn/dist/acorn.js:974:29
      2    0.1%    0.1%  LazyCompile: ~parserOnHeadersComplete _http_common.js:61:33
      2    0.1%    0.1%  LazyCompile: ~parseText /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/pug-parser/index.js:277:22
      2    0.1%    0.1%  LazyCompile: ~onwrite _stream_writable.js:432:17
      2    0.1%    0.1%  LazyCompile: ~matchKnownFields _http_incoming.js:150:26
      2    0.1%    0.1%  LazyCompile: ~loadPlugins /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/babylon/lib/index.js:1618:54
      2    0.1%    0.1%  LazyCompile: ~lex /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/pug/lib/index.js:89:19
      2    0.1%    0.1%  LazyCompile: ~is /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/babel-types/lib/index.js:387:12
      2    0.1%    0.1%  LazyCompile: ~identifier /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/acorn-globals/index.js:127:22
      2    0.1%    0.1%  LazyCompile: ~getOptions fs.js:64:20
      2    0.1%    0.1%  LazyCompile: ~fs.readFileSync fs.js:548:27
      2    0.1%    0.1%  LazyCompile: ~finishOp /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/babylon/lib/index.js:1150:51
      2    0.1%    0.1%  LazyCompile: ~finallyHandler /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/bluebird/js/release/finally.js:49:24
      2    0.1%    0.1%  LazyCompile: ~exports.renderFile /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/pug/lib/index.js:409:30
      2    0.1%    0.1%  LazyCompile: ~doctype /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/pug-lexer/index.js:407:20
      2    0.1%    0.1%  LazyCompile: ~createUnsafeArrayBuffer buffer.js:90:33
      2    0.1%    0.1%  LazyCompile: ~call /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/pug-lexer/index.js:828:17
      2    0.1%    0.1%  LazyCompile: ~blank /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/pug-lexer/index.js:315:18
      2    0.1%    0.1%  LazyCompile: ~autoEscapeStr url.js:442:23
      2    0.1%    0.1%  LazyCompile: ~afterShutdown net.js:311:23
      2    0.1%    0.1%  LazyCompile: ~advance /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/pug-lexer/index.js:1465:20
      2    0.1%    0.1%  LazyCompile: ~addText /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/pug-lexer/index.js:462:21
      2    0.1%    0.1%  LazyCompile: ~_storeHeader _http_outgoing.js:287:22
      2    0.1%    0.1%  LazyCompile: ~Writable.write _stream_writable.js:264:36
      2    0.1%    0.1%  LazyCompile: ~Target.(anonymous function) /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/knex/lib/interface.js:92:41
      2    0.1%    0.1%  LazyCompile: ~Socket.write net.js:702:34
      2    0.1%    0.1%  LazyCompile: ~Request.end /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/request/request.js:1503:34
      2    0.1%    0.1%  LazyCompile: ~Promise._settlePromise /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/bluebird/js/release/promise.js:542:44
      2    0.1%    0.1%  LazyCompile: ~Module._findPath module.js:182:28
      2    0.1%    0.1%  LazyCompile: ~Module._compile module.js:609:37
      2    0.1%    0.1%  LazyCompile: ~FastBuffer buffer.js:37:14
      2    0.1%    0.1%  LazyCompile: ~Buffer.write buffer.js:855:34
      2    0.1%    0.1%  LazyCompile: *pp$7.readInt /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/acorn/dist/acorn.js:2846:26
      2    0.1%    0.1%  LazyCompile: *pp$7.readInt /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/acorn-globals/node_modules/acorn/dist/acorn.js:3102:24
